M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,4.681143,4.681143
384.000000,384.000000,384.000000,13.960331,13.824000
512.000000,512.000000,512.000000,32.768000,26.214401
640.000000,640.000000,640.000000,39.384616,39.863748
768.000000,768.000000,768.000000,58.982401,63.195428
896.000000,896.000000,896.000000,54.035693,59.428547
1024.000000,1024.000000,1024.000000,62.080357,73.827134
1152.000000,1152.000000,1152.000000,62.207998,71.094858
1280.000000,1280.000000,1280.000000,73.142856,82.956960
1408.000000,1408.000000,1408.000000,76.785575,81.369790
1536.000000,1536.000000,1536.000000,90.271987,94.371836
1664.000000,1664.000000,1664.000000,84.620975,90.898104
1792.000000,1792.000000,1792.000000,85.613321,91.377427
1920.000000,1920.000000,1920.000000,96.745325,101.939847
2048.000000,2048.000000,2048.000000,86.928580,100.462368
2176.000000,2176.000000,2176.000000,97.215689,99.622022
2304.000000,2304.000000,2304.000000,88.802494,99.818738
2432.000000,2432.000000,2432.000000,99.273724,100.337369
2560.000000,2560.000000,2560.000000,92.044943,101.448921
2688.000000,2688.000000,2688.000000,101.697204,102.521775
2816.000000,2816.000000,2816.000000,96.491609,103.843353
2944.000000,2944.000000,2944.000000,92.288952,105.808984
3072.000000,3072.000000,3072.000000,100.573901,101.293566
3200.000000,3200.000000,3200.000000,101.910827,103.559872
3328.000000,3328.000000,3328.000000,105.404530,105.404530
3456.000000,3456.000000,3456.000000,102.028401,102.845930
3584.000000,3584.000000,3584.000000,104.552785,104.796492
3712.000000,3712.000000,3712.000000,98.721942,102.976998
3840.000000,3840.000000,3840.000000,105.426125,105.829661
3968.000000,3968.000000,3968.000000,96.801183,104.651743
4096.000000,4096.000000,4096.000000,102.984467,106.142927
