M,N,K,Triton
256.000000,256.000000,256.000000,5.461333
384.000000,384.000000,384.000000,13.824000
512.000000,512.000000,512.000000,29.127110
640.000000,640.000000,640.000000,39.384616
768.000000,768.000000,768.000000,58.982401
896.000000,896.000000,896.000000,64.409305
1024.000000,1024.000000,1024.000000,87.609482
1152.000000,1152.000000,1152.000000,82.301024
1280.000000,1280.000000,1280.000000,99.902441
1408.000000,1408.000000,1408.000000,102.863699
1536.000000,1536.000000,1536.000000,124.173471
1664.000000,1664.000000,1664.000000,121.606914
1792.000000,1792.000000,1792.000000,124.882487
1920.000000,1920.000000,1920.000000,139.901324
2048.000000,2048.000000,2048.000000,142.179792
2176.000000,2176.000000,2176.000000,145.823533
2304.000000,2304.000000,2304.000000,148.400684
2432.000000,2432.000000,2432.000000,151.045502
2560.000000,2560.000000,2560.000000,155.298574
2688.000000,2688.000000,2688.000000,158.632747
2816.000000,2816.000000,2816.000000,159.758996
2944.000000,2944.000000,2944.000000,164.645165
3072.000000,3072.000000,3072.000000,161.448757
3200.000000,3200.000000,3200.000000,164.948460
3328.000000,3328.000000,3328.000000,168.203963
3456.000000,3456.000000,3456.000000,164.938803
3584.000000,3584.000000,3584.000000,168.066154
3712.000000,3712.000000,3712.000000,165.119575
3840.000000,3840.000000,3840.000000,165.875040
3968.000000,3968.000000,3968.000000,168.308879
4096.000000,4096.000000,4096.000000,171.199494
