N,Triton,Torch
256.000000,472.502964,522.933816
384.000000,511.735662,514.024150
512.000000,569.844718,581.975120
640.000000,586.044868,513.322218
768.000000,602.798931,552.710666
896.000000,597.170782,566.515766
1024.000000,588.664089,559.189439
1152.000000,599.313145,405.046591
1280.000000,591.970913,431.305705
1408.000000,604.837951,446.233166
1536.000000,602.945112,476.980398
1664.000000,604.873153,495.532994
1792.000000,603.990689,524.900760
1920.000000,601.508835,538.101742
2048.000000,606.045672,559.921200
2176.000000,603.760239,574.647063
2304.000000,610.592520,583.044988
2432.000000,603.030809,592.889697
2560.000000,613.174460,597.359028
2688.000000,612.093608,609.855823
2816.000000,607.894823,603.247019
2944.000000,608.970374,599.049178
3072.000000,610.527827,601.016057
3200.000000,611.835194,602.584284
3328.000000,611.979235,603.049249
3456.000000,610.257719,606.519386
3584.000000,610.471922,603.186915
3712.000000,611.818973,604.649099
3840.000000,611.098750,603.505007
3968.000000,611.114702,604.276627
4096.000000,612.063330,606.931634
4224.000000,612.500259,608.708090
4352.000000,611.683106,606.829086
4480.000000,612.420056,611.218053
4608.000000,612.655623,613.657755
4736.000000,609.643577,613.286161
4864.000000,609.165340,613.229759
4992.000000,611.731493,608.191747
5120.000000,613.713311,612.864721
5248.000000,612.594817,611.976884
5376.000000,613.711811,613.075598
5504.000000,613.385163,613.759101
5632.000000,612.702208,613.627557
5760.000000,612.805938,609.265505
5888.000000,612.538225,616.383018
6016.000000,613.529879,612.859284
6144.000000,612.641066,616.848928
6272.000000,613.908793,613.695617
6400.000000,615.225733,613.317981
6528.000000,612.111118,617.668663
6656.000000,614.320419,617.413676
6784.000000,614.696750,616.840848
6912.000000,610.968306,615.481829
7040.000000,616.010499,613.677665
7168.000000,613.586771,613.584001
7296.000000,613.951532,618.843270
7424.000000,614.145458,618.850366
7552.000000,614.770524,614.223544
7680.000000,615.983101,618.127518
7808.000000,571.834652,620.808446
7936.000000,615.816922,616.998636
8064.000000,614.673712,617.483079
8192.000000,614.021415,616.881134
8320.000000,617.796188,616.909281
8448.000000,615.688119,620.211072
8576.000000,614.191891,619.248923
8704.000000,614.127511,617.954681
8832.000000,617.489567,620.607364
8960.000000,614.598186,619.928620
9088.000000,615.442899,619.982319
9216.000000,617.122886,620.358061
9344.000000,613.924858,621.428147
9472.000000,615.300520,621.577996
9600.000000,618.426614,621.111277
9728.000000,618.621814,620.948360
9856.000000,616.351899,623.431774
9984.000000,617.090152,619.771144
10112.000000,616.531231,620.372513
10240.000000,617.312058,624.414923
10368.000000,613.885074,621.703277
10496.000000,617.168607,621.129954
10624.000000,616.671133,623.450291
10752.000000,611.721646,621.650256
10880.000000,618.024773,619.678695
11008.000000,567.925829,621.608008
11136.000000,615.582451,619.588739
11264.000000,618.976066,619.529313
11392.000000,615.620326,621.293581
11520.000000,618.853432,622.871033
11648.000000,618.326336,620.919729
11776.000000,618.632293,620.275431
11904.000000,619.627625,620.464828
12032.000000,615.783611,618.041084
12160.000000,616.144979,619.234368
12288.000000,620.699584,616.751162
12416.000000,616.651751,621.186396
12544.000000,614.601243,619.200280
12672.000000,619.824664,619.717256
