size,Triton,Torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,41.513512,46.545454
32768.000000,76.800002,76.800002
65536.000000,127.999995,127.999995
131072.000000,237.449270,219.428568
262144.000000,341.333321,341.333321
524288.000000,414.784810,409.600010
1048576.000000,491.520012,472.615390
2097152.000000,522.893602,522.893602
4194304.000000,565.676704,571.534884
8388608.000000,599.414644,595.781800
16777216.000000,614.400016,612.485982
33554432.000000,626.140119,624.958376
67108864.000000,632.180043,638.807612
134217728.000000,640.156267,629.649337
